名称,户型,面积,装修,楼层,朝向,售价,总价/万,详情
蓝天绿都,1室1厅,43.08平米,精装修,低层/18层,东,56871元/平米,245,近地铁，带电梯新小区，带翰岭实验学校，税费少。
汉京九榕台,3室2厅,178.68平米,精装修,中层/16层,东北,117529元/平米,2100,3房2厅 178.42平 豪华装修 南北
鸿景翠峰花园,4室2厅,127.59平米,普通装修,中层/17层,东南,68971元/平米,880,畔山豪宅，此户型很少有放卖的，使用率超高！
龙岗大道1号,2室2厅,68.42平米,精装修,高层/41层,东南,54078元/平米,370,精装双阳台高层南向，客厅出阳台南北通透
水榭春天五期,3室2厅,88.31平米,精装修,高层/30层,东,90590元/平米,800,深高精装居家三房高于同户型使用满五一套业主赎楼
福盈山,3室1厅,67.22平米,毛坯,高层/30层,南,37191元/平米,250,不限购不限贷小三房户型方正实用看房随时方便
半岛城邦三期,2室2厅,87.63平米,精装修,中层/47层,南,131234元/平米,1150,豪装2房，刚入伙，智能化家电，看海景
桃源居三区,3室2厅,110.36平米,精装修,高层/6层,东,45759元/平米,505,温馨大三房，满五年，业主诚心出售
,3室2厅,93.17平米,精装修,中层/18层,西南,53665元/平米,500,桃源居6区     3房可做4房     朝南向
半岛城邦一期,3室2厅,121.4平米,精装修,中层/27层,西南,131796元/平米,1600,高楼层海景房 满5年了 保养好 看房有钥匙
振业峦山谷,2室2厅,64.16平米,精装修,低层/33层,南,34289元/平米,220,精装2+1房出售 厅出阳台朝西南看山景
幸福海岸二期,3室2厅,116.89平米,精装修,低层/30层,西北,85551元/平米,1000,"无缝对接，沃尔玛就在楼下，直接拎包入住,环境优美，"
红树西岸,5室2厅,372平米,精装修,中层/29层,南,165323元/平米,6150,花园社区，近地铁站，可看海景，园林景观，居家舒适
金地上塘道,2室2厅,66.97平米,精装修,低层/25层,南,59728元/平米,400,高拓精装两房可改小三房 视野开阔厅出阳台 业主婚房
桃源居三区,2室2厅,82.59平米,普通装修,低层/9层,南,48432元/平米,400,精装大两房，户型方正，南北通透，红本在手  税费少
金亨利,5室2厅,131.17平米,毛坯,中层/30层,南北,91484元/平米,1200,红山站旁边，南北通户型，学校环绕
英郡年华花园,1室2厅,46.02平米,普通装修,高层/17层,东北,45198元/平米,208,布吉丹竹头站，精装修，满五年红本在手，看房方便！
龙岗大道1号,3室2厅,82.93平米,精装修,低层/30层,南,49439元/平米,410,出门即是木棉湾站，尽全力满足客户需求
港铁天颂,4室2厅,144平米,毛坯,低层/33层,南北,57500元/平米,828,无缝接驳 南北通透高拓展5房 业主急卖，价格可商量
宝安新村,3室2厅,96.2平米,精装修,中层/8层,东南,46778元/平米,450,近宝安公园，成熟高档公务员社区，精装三房，东南朝向
桂芳园六期,2室2厅,71.42平米,精装修,低层/20层,西北,42005元/平米,300, 视野好，安静舒适
观澜豪园二期,3室2厅,99.58平米,精装修,低层/10层,南,40169元/平米,400,观澜湖离新城醉近的区醉大3房出售
宝安新村,3室2厅,90.5平米,普通装修,高层/8层,北,44199元/平米,400,公务员社区 满五年 唯 一红本在手 精装三房 
万科云城三期,2室2厅,67平米,普通装修,高层/34层,东,91045元/平米,610,精装两房 户型方正 带深中学校 
宏发领域,3室2厅,111.56平米,精装修,低层/32层,南,87845元/平米,980,前海欢乐海岸精装大3房高赠送+大阳台
倚山花园三期,2室2厅,86.65平米,精装修,中层/31层,西南,51933元/平米,450,高层精装两房 景观好 山海一景 楼层佳
南岭花园,3室2厅,78.59平米,普通装修,高层/7层,南,34356元/平米,270,朝南3房，全新装修，满5年税费少，看房方便
春树里小区,2室2厅,73.46平米,精装修,高层/18层,南,93929元/平米,690,东南向高层海景两房 装修保养好
长丰苑,1室0厅,39.4平米,精装修,高层/29层,东南,36041元/平米,142,繁华商圈，租金高，采光好             
先科机电大厦,1室0厅,38.86平米,普通装修,高层/13层,北,36027元/平米,140,39平大单房，户型方正
云峰花园,3室2厅,105.37平米,精装修,低层/33层,西南,34165元/平米,360,国贸商圈 三房两厅两卫，看房方便
万科清林径,3室2厅,110.48平米,精装修,高层/30层,南,36206元/平米,400,3室2厅 欧式风格 景观靓丽 朝南看花园 即约即看
融湖城,3室2厅,87.75平米,毛坯,低层/30层,东南,41026元/平米,360,双地/铁/口东南向毛坯3房2卫满二年业主自己赎楼
招华曦城六期,6室2厅,230.91平米,毛坯,低层/3层,南,64960元/平米,1500,叠加别墅，户型大气，带花园，露台，随时看房
双城世纪,2室2厅,62.82平米,精装修,中层/29层,东南,54123元/平米,340,朝南看香港山，厅出大阳台，红本无税，诚心出售
中海九号公馆,6室2厅,201.7平米,毛坯,共1层,南,114031元/平米,2300,端头位靠山二排，花园面积大，视野开阔
南岭花园,3室2厅,72.89平米,精装修,低层/7层,北,41158元/平米,300,小3房精装修 送65平米私家花园 满五年带装修
鸿翔花园,3室2厅,134.04平米,精装修,中层/30层,北,76097元/平米,1020,3房2厅133平精装修，高端住户人群，双地铁物业
深圳湾畔花园,3室2厅,120.46平米,精装修,中层/32层,南,70563元/平米,850,东南向3房出售 景观房 户型方正 实用
南岭花园,2室2厅,63.95平米,普通装修,高层/7层,南,34402元/平米,220,红本在手满5年，户型方正，南北通透2房
龙园山庄,2室2厅,79.99平米,普通装修,低层/30层,南,38755元/平米,310,精装电梯两房出售  户型方正 光线好 拎包入住
中信红树湾,3室2厅,152.32平米,精装修,高层/28层,西南,82064元/平米,1250,南北通双层小复式，海景高尔夫景，私密性好，满五年
新天鹅堡,5室2厅,298.99平米,精装修,中层/40层,南,167230元/平米,5000,湖景大宅中间楼层，5房2厅，南北通透，近地铁物业
凤凰新天,3室2厅,79.58平米,普通装修,低层/26层,西南,43981元/平米,350,客户实在价格有空间 满5年 采光通风好
双城世纪,1室1厅,48.41平米,精装修,高层/29层,东南,49577元/平米,240,罗湖口岸精装修1房1厅急售
龙珠花园(龙岗),3室1厅,78.35平米,普通装修,低层/30层,北,35099元/平米,275,龙珠花园3房双阳台
信义御城,2室2厅,67.63平米,精装修,中层/33层,东北,45838元/平米,310,地/铁外加沃尔玛天虹旁边的家，户户朝花，配套齐全。
前海明珠,3室1厅,61.28平米,精装修,高层/19层,西,63642元/平米,390,近地铁 精装3房1厅1卫 繁华地段 高楼层无遮挡
天粹,3室1厅,56.8平米,精装修,中层/30层,东,75704元/平米,430,带深圳中学+翠北小学 双地铁 红本在手 改好三房
南岭花园,2室2厅,78.59平米,普通装修,高层/7层,南,29266元/平米,230,急售，急售，急售，230万，朝南两房两阳台，
桃源居十四区,8室3厅,147.91平米,精装修,低层/18层,东南,57467元/平米,850,复式8房，居家吉宅，电梯房！高层看花园，安静
南光格兰晴天,2室1厅,58.33平米,精装修,低层/34层,东北,48003元/平米,280,近公园旁近华强商住两用房精装两房采光充足
金城华庭,1室1厅,35.71平米,精装修,低层/24层,东南,78409元/平米,280,笋盘-东南35平一房，家门口就是螺岭小学，随时看房
悠山美地家园,3室2厅,83.43平米,精装修,中层/26层,南,51540元/平米,430,满2年。税低.看羊台山，房子精装，看房方便
